ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
BRMBNH26AY120SC	BNH-26AY 120SC SMALL DIA CUP BRUSH	10.68	16.43	17.90			1		0.31	0	0	0	0
BRMBNH26AY180SC	BNH-26AY 180SC SMALL DIA CUP BRUSH	10.68	16.43	17.91			1		0.31	0	0	0	0
BRMBNH26AY320AO	BNH-26AY 320AO SMALL DIA CUP BRUSH	10.68	16.43	17.90			1		0.31	0	0	0	0
CLCL146L	SAFETY PRO LIGHTED GLOVE LARGE	22.53	29.99	29.99			1	84298514647	0.40	11.00	6.00	3.00	CHN
CLCL146M	SAFETY PRO LIGHTED GLOVE MEDIUM	22.53	29.99	29.99			1	84298514630	0.40	12.00	5.00	2.00	CHN
CLCL146XL	SAFETY PRO LIGHTED GLOVE XLARGE	22.53	29.99	29.99		202	1	84298514654	0.45	11.00	5.00	2.00	CHN
CLCL146XX	SAFETY PRO LIGHTED GLOVE 2X	22.53	29.99	29.99		202	1	84298514661	0.45	11.00	5.00	2.00	CHN
CLCR1803X	2 PC CAMO RAIN SUIT 3X	22.65	34.85	39.95			1	84298018077	1.14	13.50	10.00	2.00	CHN
CLCR180L	2 PC.CAMO RAIN SUIT LARGE	22.65	34.85	39.95			1	84298018046	1.00	13.00	10.50	2.50	CHN
CLCR180XL	2 PC CAMO RAIN SUIT X-LARGE	22.65	34.85	39.95			1	84298018053	1.04	13.50	10.50	2.00	CHN
COS19336	HL8 HEADLAMP	57.60	88.62	122.92			1	15286193360	1.00	10.00	7.00	5.00	0
COS19649	HL8 FOCUSING LED HEAD LAMP / GIFT BOX	57.60	88.62	122.92		49	1	15286196491	1.55	6.38	6.38	5.18	CHN
COS19698	A9R BATTERY PACK	8.04	12.37	14.67			1	15286196989	0.01	4.50	1.00	1.00	0
COS20349	A8R RECHARGEABLE BATTERY	8.04	12.37	14.67			1	15286203496	1.00	1.00	1.00	1.00	CHN
COS20342	BX300	9.99	15.37	18.97			1	15286203427	0.25	4.38	0.75	10.36	0
