ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
KDT82512	T15 LNG TORX SKT 1/4DR	4.70	7.23	8.96			1	99575825125	0.10	8.50	2.00	8.50	TWN
KDT82513	T20 LNG TORX SKT 1/4DR	4.70	7.23	8.96			1	99575825132	0.10	8.50	2.00	8.50	TWN
KDT82514	T25 LNG TORX SKT 1/4DR	4.70	7.23	8.96			1	99575825149	0.15	8.25	1.75	0.25	TWN
KDT82515	T27 LNG TORX SKT 1/4DR	4.70	7.23	8.96			1	99575825156	0.15	8.25	1.75	0.50	TWN
KDT82516	T30 LNG TORX SKT 1/4DR	4.70	7.23	8.96			1	99575825163	0.15	8.20	1.75	0.25	TWN
KDT82517	T40 LNG TORX SKT 3/8DR	5.22	8.03	10.26			1	99575825170	0.20	8.50	1.75	0.01	TWN
KDT82518	T45 LNG TORX SKT 3/8DR	5.22	8.03	10.26			1	99575825187	0.10	8.25	1.75	0.75	TWN
KDT82682	8PC. ORANGE&BLACK PHILLIPS/SLOTTED SCREWDRIVER SET	43.37	66.72	87.84		126	1	99575826825	2.20	12.25	8.50	1.50	TWN
KDT82683	8PC. GREEN&BLACK PHILLIPS/SLOTTED SCREWDRIVER SET	43.37	66.72	87.84			1	99575826832	2.25	12.00	8.75	2.00	TWN
KDT82684	SLOTTED 3/16_X3_ WITH CABINET TIP (ORANGE)	5.57	8.57	10.63			1	99575826849	6.00	7.00	1.00	1.00	TWN
KDT82692	SLOTTED 3/16_X3_ WITH CABINET TIP (GREEN)	5.57	8.57	10.63			1	99575826924	3.00	5.00	5.00	2.00	TWN
KDT82685	SLOTTED 1/4_X4_ WITH HEX BOLSTER (ORANGE)	6.70	10.31	12.76			1	99575826856	0.25	9.00	1.50	1.50	TWN
KDT82693	SLOTTED 1/4_X4_ WITH HEX BOLSTER (GREEN)	6.70	10.31	12.76			1	99575826931	0.25	9.00	2.00	1.00	TWN
KDT82686	SLOTTED 5/16_X6_ WITH HEX BOLSTER (ORANGE)	9.13	14.05	17.46			1	99575826863	0.50	12.50	1.50	1.50	TWN
KDT82694	SLOTTED 5/16_X6_ WITH HEX BOLSTER (GREEN)	9.13	14.05	17.46			1	99575826948	2.00	11.00	2.00	0.10	TWN
KDT82698	PHILLIPS #3 X 6_ WITH HEX BOLSTER (GREEN)	9.13	14.05	17.46			1	99575826986	0.15	1.00	3.00	2.00	TWN
KDT82687	SLOTTED 1/4_X1-1/2_  (ORANGE)	5.41	8.32	11.08			1	99575826870	0.10	4.00	1.20	1.20	TWN
KDT82691	PHILLIPS #2 X 1-1/2_ (ORANGE)	5.41	8.32	11.08			1	99575826917	0.60	5.00	1.00	0.50	TWN
KDT82695	SLOTTED 1/4_X1-1/2_  (GREEN)	5.41	8.32	11.08			1	99575826955	0.10	2.00	1.00	0.10	TWN
KDT82699	PHILLIPS #2 X 1-1/2_ (GREEN)	5.41	8.32	11.08			1	99575826993	0.50	2.00	2.00	2.00	TWN
KDT82688	PHILLIPS #1 X 3_ (ORANGE)	4.93	7.58	9.92			1	99575826887	0.15	8.00	0.10	0.10	TWN
KDT82696	PHILLIPS #1 X 3_ (GREEN)	4.93	7.58	9.92			1	99575826962	0.50	5.00	1.00	1.00	TWN
KDT82689	PHILLIPS #2 X 4_ WITH HEX BOLSTER (ORANGE)	7.44	11.45	14.13			1	99575826894	0.20	8.50	1.00	1.00	TWN
KDT82697	PHILLIPS #2 X 4_ WITH HEX BOLSTER (GREEN)	7.44	11.45	14.13			1	99575826979	0.50	7.00	2.00	2.00	TWN
KDT82724	T20 X 6_ SCREWDRIVER	6.76	10.40	10.93			1	99575827242	1.00	1.00	1.00	1.00	0
KDT82736	T10 X 6_ TAMPER PROOF TORX DUAL MATERIAL	5.22	8.03	11.00			1	99575827365	0.20	9.00	2.00	2.00	0
KDT82737	T15 TAMPER SCREWDRIVER	5.22	8.03	11.00			1	99575827372	0.10	10.25	1.00	1.00	0
KDT82750	3/16_ NUT DRIVER HOLLOW SHAFT                     	5.88	9.05	11.50			1	99575827501	0.30	8.50	1.50	1.50	0
KDT82756	1/2 NUT DRIVER HOLLOW SHAFT                     	5.88	9.05	11.50			1	99575827563	0.40	9.00	2.00	2.00	0
KDT82751	1/4_ NUT DRIVER HOLLOW SHAFT                     	6.55	10.08	12.79			1	99575827518	0.25	8.50	1.50	1.50	0
KDT82752	5/16_ NUT DRIVER HOLLOW SHAFT                     	6.55	10.08	12.79			1	99575827525	0.25	1.25	1.25	10.00	0
KDT82753	11/32_ NUT DRIVER HOLLOW SHAFT                    	6.55	10.08	12.79			1	99575827532	0.25	9.50	1.50	1.50	0
KDT82760	9MM NUT DRIVER HOLLOW SHAFT                     	6.55	10.08	12.80			1	99575827600	1.00	5.00	4.00	5.00	0
KDT82754	3/8 NUT_ DRIVER HOLLOW SHAFT                     	8.52	13.11	16.63			1	99575827549	0.35	8.75	1.50	1.50	0
KDT82755	7/16 NUT DRIVER HOLLOW SHAFT                     	8.52	13.11	16.63			1	99575827556	0.30	8.50	1.50	1.50	0
KDT82803	MALE EXTENSION ADAPTER - 3/8? DR.	5.90	9.08	13.19			1	99575828034	0.11	5.47	3.62	5.47	0
KDT82804	FEMALE EXTENSION ADAPTER - 3/8? DR.	5.90	9.08	13.19			1	99575828041	0.57	6.81	4.53	6.81	0
KDT82822	8_ FLAT FILE	16.94	26.06	29.37			1	99575828225	0.70	10.00	2.00	1.00	TWN
KDT82823	8_ ROUND BASTARD FILE	16.94	26.06	29.37			1	99575828232	0.30	13.00	1.50	1.25	TWN
KDT82824	8_ HALF ROUND BASTARD FILE	16.94	26.06	29.37			1	99575828249	0.45	12.50	1.50	1.25	TWN
KDT82825	8_ TRIANGLE FILE	16.94	26.06	29.37			1	99575828256	0.40	12.50	1.25	1.25	0
KDT82850N	TAP 14 X 1.25 PLUG	4.40	6.77	9.86			1	99575028502	0.50	5.00	1.00	5.00	TWN
KDT82851N	TAP 14 X 2.00 PLUG	4.40	6.77	9.86			1	99575028519	1.00	1.00	1.00	1.00	TWN
KDT82852N	TAP 16 X 1.50 PLUG	5.02	7.72	11.28			1	99575028526	0.00	0	0	0	TWN
KDT82853N	TAP 16 X 2.00 PLUG	5.02	7.72	11.28			1	99575028533	0.25	3.00	0.25	3.00	TWN
KDT82854N	TAP 18 X 1.50 PLUG	5.99	9.22	13.43			1	99575028540	0.00	0	0	0	TWN
KDT82855N	TAP 18 X 2.50 PLUG	5.99	9.22	13.43			1	99575028557	0.00	0	0	0	TWN
KDT82856N	TAP 9/16-12 PLUG	4.31	6.63	9.59			1	99575028564	0.00	0	0	0	TWN
KDT82857N	TAP 9/16-18 PLUG	4.31	6.63	9.59			1	99575028571	0.10	4.00	0.75	0.75	TWN
KDT82863N	HEX DIE 9/16-12	3.28	5.05	7.32			1		0.00	0	0	0	TWN
KDT82864N	HEX DIE 9/16-18	3.28	5.05	7.32			1	99575028649	0.00	0	0	0	TWN
KDT82865N	HEX DIE 5/8-11	3.28	5.05	7.32			1		0.15	1.75	1.75	0.75	TWN
KDT82866N	HEX DIE 5/8-18	3.28	5.05	7.32			1	99575028663	2.00	2.00	3.00	1.00	TWN
KDT82867N	HEX DIE 3/4-10	3.28	5.05	7.32			1	99575028670	0.00	0	0	0	TWN
KDT82868N	HEX DIE 3/4-16	3.28	5.05	7.32			1	99575028687	0.15	2.00	2.00	2.00	TWN
KDT84134	1/4_ DRIVE DEEP IMPACT SOCKET 1/2_	3.28	5.05	7.32			1	99575841347	0.01	3.00	0.20	0.20	0
KDT82869N	HEX DIE 1/4-18 NPT	5.51	8.48	12.36			1	99575028694	0.40	1.75	0.75	1.75	TWN
KDT82876N	HEX DIE 1/4-19 BSP	5.51	8.48	12.36			1	99575028762	0.00	0	0	0	TWN
KDT82870N	HEX DIE 14 X 1.25	2.95	4.54	6.58			1	99575028700	0.40	1.75	0.75	1.75	TWN
KDT82871N	HEX DIE 14 X 2.00	2.95	4.54	6.58			1	99575028717	0.30	3.00	1.00	2.00	TWN
KDT82872N	HEX DIE 16 X 1.50	2.95	4.54	6.58			1	99575028724	0.00	0	0	0	TWN
KDT82873N	HEX DIE 16 X 2.00	2.95	4.54	6.58			1	99575028731	0.00	0	0	0	TWN
KDT82874N	HEX DIE 18 X 1.50	2.95	4.54	6.58			1	99575028748	0.15	2.00	2.00	1.00	TWN
KDT82875N	HEX DIE 18 X 2.50	2.95	4.54	6.58			1	99575028755	0.00	0	0	0	TWN
KDT82872	16 X 1.50MM HEX DIE	2.95	4.54	6.26			1	99575828720	0.14	1.50	1.50	0.50	0
KDT82875	18 X 2.50MM HEX DIE	2.95	4.54	6.26			1	99575828751	0.14	1.50	1.50	0.50	0
KDT82876	1/4_ - 19 BSP	5.90	9.08	11.74			1	99575828768	0.15	1.50	1.50	0.50	0
KDT82902	3/16_ NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829024	0.00	0.00	0.00	0.00	0
KDT82903	1/4_ NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829031	0.50	10.00	2.50	10.00	0
KDT82905	11/32_ NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829055	0.00	0.00	0.00	0.00	0
KDT82906	3/8_ NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829062	0.00	0.00	0.00	0.00	0
KDT82907	7/16_ NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829079	0.05	9.00	1.00	1.00	0
KDT82908	1/2_ NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829086	0.00	0.00	0.00	0.00	0
KDT82909	9/16_ NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829093	0.40	10.00	1.50	1.50	0
KDT82910	6MM NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829109	0.00	0.00	0.00	0.00	0
KDT82911	7MM NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829116	0.10	9.25	1.25	9.25	0
KDT82912	8MM NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829123	0.00	0.00	0.00	0.00	0
KDT82913	9MM NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829130	0.00	0.00	0.00	0.00	0
KDT82914	10MM NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829147	0.50	11.00	2.50	11.00	0
KDT82915	11MM NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829154	0.00	0.00	0.00	0.00	0
KDT82916	12MM NUT DRIVER INSULATED	6.13	9.43	11.55			1	99575829161	0.20	9.25	1.60	1.30	0
KDT83101	3/8_ DRIVE SLIDE SOCKET RAIL (RED)	7.84	12.06	16.42			1	99575831010	0.34	17.75	3.10	1.50	CHN
KDT83110	3/8_ DRIVE SLIDE SOCKET RAIL (GREEN)	7.84	12.06	16.42			1	99575831102	0.35	18.00	3.25	1.75	TWN
KDT83102	1/2_ DRIVE SLIDE SOCKET RAIL (RED)	9.50	14.62	17.24			1	99575831027	0.34	17.75	3.10	1.50	TWN
KDT83108	1/2_ DRIVE SLIDE SOCKET RAIL (BLUE)	9.50	14.62	17.24			1	99575831089	0.40	17.75	3.10	1.50	TWN
KDT83111	1/2_ DRIVE SLIDE SOCKET RAIL (GREEN)	9.50	14.62	17.24			1	99575830112	0.18	18.00	3.00	1.50	TWN
KDT83105	1/4_ DRIVE SLIDE SOCKET RAIL (RED)	7.67	11.80	14.26			1	99575831058	0.21	12.00	3.10	1.25	TWN
KDT83106	1/4_ DRIVE SLIDE SOCKET RAIL (BLUE)	7.67	11.80	14.26			1	99575831065	0.21	12.00	3.10	1.25	TWN
KDT83109	1/4_ DRIVE SLIDE SOCKET RAIL (GREEN)	7.67	11.80	14.26			1	99575831096	0.09	12.00	3.00	1.50	TWN
KDT83113	3/8_ DRIVE SOCKET RAIL CLIPS (3 PC.)	1.16	1.78	2.06			1	99575831133	0.01	4.00	1.50	1.00	TWN
KDT83114	1/2_ DRIVE SOCKET RAIL CLIPS (3 PC.)	1.16	1.78	2.06			1	99575081149	0.01	4.00	1.60	1.00	TWN
KDT83123BU	5 DRAWER CABINET BB BLUE	455.88	670.41	1040.18			1	99575083136	0.00	18.75	82.00	31.25	0
KDT83123RD	5 DRAWER CABINET BB RED	455.88	670.41	1040.18			1	99575831232	0.00	18.75	82.00	31.25	CHN
KDT83124BK	6 DRAWER CHEST BB BLACK	455.88	670.41	1030.70			1	99575081248	0.00	17.75	75.00	20.50	CHN
KDT83124BU	6 DRAWER CHEST	455.88	670.41	1030.70			1	99575832048	0.00	17.75	75.00	20.50	0
KDT83124RD	6 DRAWER CHEST BB RED	455.88	670.41	1030.70			1	99575831249	0.00	17.75	75.00	20.50	0
KDT83126RD	10 DRAWER CHEST BB RED	882.19	1260.27	1469.22			1	99575831263	0.00	18.00	115.00	40.50	CHN
KDT83126BK	10 DRAWER CHEST BB BLACK	669.28	956.11	1483.48			1	99575081262	0.00	18.00	115.00	40.50	0
KDT83126BU	10 DRAWER CHEST BB BLUE	669.28	956.11	1483.48			1	99575832604	0.00	18.00	115.00	40.50	0
KDT83127BK	11 DRAWER TOOL CABINET	902.08	1288.69	2000.46			1	99575830273	0.00	18.75	172.00	38.50	CAN
KDT83127BU	11 DRAWER CABINET BB BLUE	902.08	1288.69	2115.87			1	99575081279	0.00	18.75	172.00	38.50	CHN
KDT83127RD	11 DRAWER CABINET BB RED	902.08	1288.69	2000.46			1	99575831270	0.00	18.75	172.00	38.50	CHN
KDT8315502001	LOCK AND KEY SET	6.87	10.57	15.33			1	99575315510	0.00	0.00	0.00	0.00	0
KDT8315502002	LOCK AND KEY SET	6.87	10.57	15.33			1	99575315527	0.00	0.00	0.00	0.00	0
KDT84001	5_ COTTER PIN PULLER	8.23	12.66	15.24			1	99575840012	0.25	9.35	1.50	1.50	TWN
KDT84002	4_ HOSE HEX PULLER	8.23	12.66	15.24			1	99575840029	0.25	7.00	1.50	1.50	TWN
KDT84003	4-1/2_ AWL	8.23	12.66	15.24			1	99575840036	0.25	7.50	1.50	1.50	TWN
KDT84004	MINI FULL HOOK 3-1/8_	6.87	10.57	11.48			1	99575840043	0.05	6.50	1.00	1.00	0
KDT84005	MINI 90 DEGREE HOOK	6.87	10.57	11.48			1	99575840050	0.07	7.00	1.00	1.00	TWN
KDT84006	PICK 3 1/8_ STRAIGHT MINI HOOK	6.87	10.57	11.48			1	99575840067	0.05	6.75	0.50	0.50	TWN
KDT84007	3-1/8 MINI OFFSET HOOK	6.87	10.57	11.48			1	99575840074	0.07	6.00	1.00	1.00	TWN
KDT84011	LONG FULL HOOK	4.36	6.71	8.53			1	99575840111	0.15	10.00	2.50	1.00	TWN
KDT84012	LONG 90 DEGREE PICK	4.36	6.71	8.53			1	99575840128	0.25	10.00	2.00	1.00	TWN
KDT84013	LONG 45 DEGREE PICK	4.36	6.71	8.53			1	99575840135	0.15	10.20	2.50	1.00	TWN
KDT84014	LONG DOUBLE ANGLE PICK	4.36	6.71	8.53			1	99575840142	0.25	10.00	2.50	1.00	TWN
KDT84015	LONG COMPLEX PICK	4.36	6.71	8.53			1	99575840159	0.15	10.00	2.50	1.00	TWN
KDT84016	LONG ANGLE HOOK PICK	4.36	6.71	8.53			1	99575840166	0.25	10.00	2.50	1.00	TWN
KDT84017	LONG COMBINATION PICK	4.36	6.71	8.53			1	99575840173	0.65	10.00	2.50	1.00	TWN
KDT84018	LONG STRAIGHT PICK	4.36	6.71	8.53			1	99575840180	0.15	10.00	2.50	1.00	TWN
KDT84021	HEAVY-DUTY FULL HOOK	7.91	12.17	15.46			1	99575840210	2.00	15.20	2.50	1.50	TWN
KDT84022	HEAVY-DUTY STRAIGHT PICK	7.91	12.17	15.46			1	99575840227	1.75	15.00	2.60	1.50	TWN
KDT84023	HEAVY-DUTY 90 DEGREE PICK	7.91	12.17	15.46			1	99575840234	1.35	15.00	2.60	1.20	TWN
KDT84024	HEAVY-DUTY COMBINATION PICK	7.91	12.17	15.46			1	99575840241	1.25	15.60	2.60	1.50	TWN
KDT84063	DOOR PANEL REMOVER SQUARE	10.00	15.38	16.17			1	99575840630	0.32	9.50	1.00	1.00	0
KDT84064	DOOR PANEL REMOVER V	10.00	15.38	16.17			1	99575840647	0.30	10.00	3.00	10.00	0
KDT84081	1/4_ X 8_ SCRAPER	10.24	15.75	20.11			1	99575840814	0.40	14.10	2.10	2.00	0
KDT84082	1/2_ X 8_ SCRAPER	10.24	15.75	20.11			1	99575840821	0.45	15.00	3.00	2.00	0
KDT84100	1/4_ DRIVE IMPACT SOCKET 3/16_	1.80	2.77	4.05			1	99575841002	0.10	3.50	2.00	4.00	0
KDT84305N	3/8_ DRIVE 6 POINT  5/8_ STANDARD IMPACT SOCKET	1.80	2.77	4.03			1	99575000102	0.15	1.25	1.00	1.00	CHN
KDT84306N	3/8_ DRIVE 6 POINT  11/16_ STANDARD IMPACT SOCKET	1.80	2.77	4.05			1	99575000119	0.00	0	0	0	CHN
KDT84101	1/4_ DRIVE IMPACT SOCKET 7/32_	1.71	2.63	3.82			1	99575841019	0.01	3.50	1.85	0.25	0
KDT84102	1/4_ DRIVE IMPACT SOCKET 1/4_	1.71	2.63	3.82			1	99575841026	0.06	3.40	1.70	0.50	0
KDT84103	1/4_ DRIVE IMPACT SOCKET 9/32_	1.71	2.63	3.82			1	99575841033	0.50	2.00	0.30	0.30	0
KDT84104	1/4_ DRIVE IMPACT SOCKET 5/16_	1.71	2.63	3.82			1	99575841040	0.50	6.00	3.00	2.00	0
KDT84106	1/4_ DRIVE IMPACT SOCKET 3/8_	1.71	2.63	3.82			1	99575841064	0.25	1.00	1.00	0.25	0
KDT84107	1/4_ DRIVE IMPACT SOCKET 7/16_	1.71	2.63	3.82			1	99575841071	0.15	2.50	1.00	0.50	0
KDT84108	1/4_ DRIVE IMPACT SOCKET 1/2_	1.71	2.63	3.82			1	99575841088	0.10	4.00	3.00	1.00	0
KDT84111	1/4_ DRIVE IMPACT SOCKET 4MM	1.71	2.63	3.82			1	99575841118	0.05	3.50	1.75	0.25	0
KDT84112	1/4_ DRIVE IMPACT SOCKET 4.5MM	1.71	2.63	3.82			1	99575841125	1.00	1.00	1.00	1.00	0
KDT84113	1/4_ DRIVE IMPACT SOCKET 5MM	1.71	2.63	3.82			1	99575841132	0.02	3.50	2.00	1.00	0
KDT84114	1/4_ DRIVE IMPACT SOCKET 5.5MM	1.71	2.63	3.82			1	99575841149	0.50	5.50	3.00	2.00	0
KDT84115	1/4_ DRIVE IMPACT SOCKET 6MM	1.71	2.63	3.82			1	99575841156	0.05	0.50	0.50	0.50	0
KDT84116	1/4_ DRIVE IMPACT SOCKET 7MM	1.71	2.63	3.82			1	99575841163	0.05	3.50	2.00	1.00	0
KDT84117	1/4_ DRIVE IMPACT SOCKET 8MM	1.71	2.63	3.82			1	99575841170	0.05	3.00	2.00	0.50	0
KDT84118	1/4_ DRIVE IMPACT SOCKET 9MM	1.71	2.63	3.82			1	99575841187	2.00	2.00	1.00	2.00	0
KDT84119	1/4_ DRIVE IMPACT SOCKET 10MM	1.71	2.63	3.82			1	99575841194	0.50	3.50	2.00	1.00	0
KDT84120	1/4_ DRIVE IMPACT SOCKET 11MM	1.71	2.63	3.82			1	99575841200	0.08	1.50	0.50	0.30	0
KDT84121	1/4_ DRIVE IMPACT SOCKET 12MM	1.71	2.63	3.82			1	99575841217	0.05	3.50	1.75	0.15	0
KDT84122	1/4_ DRIVE IMPACT SOCKET 13MM	1.71	2.63	3.82			1	99575841224	0.50	1.00	0.50	0.25	0
KDT84124	1/4_ DRIVE IMPACT SOCKET 15MM	1.87	2.88	4.21			1	99575841248	0.10	3.50	2.00	1.10	0
KDT84317N	3/8_ DRIVE 6 POINT  16MM STANDARD IMPACT SOCKET	1.87	2.88	4.22			1	99575000256	1.50	1.50	1.50	1.50	CHN
KDT84318N	3/8_ DRIVE 6 POINT  17MM STANDARD IMPACT SOCKET	1.87	2.88	4.22			1	99575000263	1.50	1.50	1.50	1.50	CHN
KDT84126	1/4_ DRIVE DEEP IMPACT SOCKET 3/16_	2.95	4.54	6.63			1	99575841262	0.05	4.50	1.75	0.50	0
KDT84133	1/4_ DRIVE DEEP IMPACT SOCKET 7/16_	2.95	4.54	6.68			1	99575841330	0.12	4.50	1.75	0.70	0
KDT84127	1/4_ DRIVE DEEP IMPACT SOCKET 7/32_	2.95	4.54	6.58			1	99575841279	0.10	4.50	1.75	0.50	0
KDT84128	1/4_ DRIVE DEEP IMPACT SOCKET 1/4_	2.95	4.54	6.58			1	99575841286	0.10	4.50	1.75	1.00	0
KDT84129	1/4_ DRIVE DEEP IMPACT SOCKET 9/32_	2.95	4.54	6.58			1	99575841293	1.00	1.00	1.00	1.00	0
KDT84130	1/4_ DRIVE DEEP IMPACT SOCKET 5/16_	2.95	4.54	6.58			1	99575841309	0.10	4.50	1.75	0.50	0
KDT84131	1/4_ DRIVE DEEP IMPACT SOCKET 11/32_	2.95	4.54	6.58			1	99575841316	0.01	3.00	0.10	0.10	0
KDT84132	1/4_ DRIVE DEEP IMPACT SOCKET 3/8_	2.95	4.54	6.58			1	99575841323	0.30	1.50	0.50	4.00	0
KDT84138	1/4_ DRIVE DEEP IMPACT SOCKET 4.5MM	2.56	3.94	5.73			1	99575841385	0.05	4.50	2.75	0.25	0
KDT84340N	3/8_ DRIVE 6 POINT  17MM DEEP IMPACT SOCKET	2.56	3.94	5.74			1	99575000522	0.30	3.00	1.00	1.00	CHN
KDT84139	1/4_ DRIVE DEEP IMPACT SOCKET 5MM	2.29	3.52	5.11			1	99575841392	0.05	4.50	1.75	0.15	0
KDT84140	1/4_ DRIVE DEEP IMPACT SOCKET 5.5MM	2.29	3.52	5.11			1	99575841408	1.00	1.00	1.00	1.00	0
KDT84142	1/4_ DRIVE DEEP IMPACT SOCKET 7MM	2.29	3.52	5.11			1	99575841422	0.10	4.50	2.00	1.00	0
KDT84143	1/4_ DRIVE DEEP IMPACT SOCKET 8MM	2.29	3.52	5.11			1	99575841439	0.10	4.50	2.00	0.60	0
KDT84144	1/4_ DRIVE DEEP IMPACT SOCKET 9MM	2.29	3.52	5.11			1	99575841446	0.10	2.00	1.00	1.00	0
KDT84145	1/4_ DRIVE DEEP IMPACT SOCKET 10MM	2.29	3.52	5.11			1	99575841453	0.15	4.00	2.00	0.60	0
KDT84152	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 1/4_	8.23	12.66	18.41			1	99575841521	0.50	5.00	2.00	0.50	0
KDT84153	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 5/16_	8.23	12.66	18.41			1	99575841538	0.75	1.50	0.50	0.25	0
KDT84154	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 3/8_	8.23	12.66	18.41			1	99575841545	0.25	4.00	2.00	1.00	0
KDT84156	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 1/2_	8.23	12.66	18.41			1	99575841569	0.10	4.00	1.70	0.60	0
KDT84157	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 9/16_	8.23	12.66	18.41			1	99575841576	0.20	1.00	0.50	0.25	0
KDT84159	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 5MM	8.23	12.66	18.41			1	99575841590	0.10	4.25	1.75	2.00	0
KDT84160	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 5.5MM	8.23	12.66	18.41			1	99575841606	0.15	2.00	2.00	2.50	0
KDT84161	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 6MM	8.23	12.66	18.41			1	99575841613	0.10	0.75	0.75	4.25	0
KDT84162	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 7MM	8.23	12.66	18.41			1	99575841620	0.10	2.00	0.75	2.00	0
KDT84163	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 8MM	8.23	12.66	18.41			1	99575841637	0.10	5.00	2.00	5.00	0
KDT84165	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 10MM	8.23	12.66	18.41			1	99575841651	0.10	4.25	2.00	1.00	0
KDT84166	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 11MM	8.23	12.66	18.41			1	99575841668	0.10	2.75	1.50	0.75	0
KDT84167	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 12MM	8.23	12.66	18.41			1	99575841675	0.50	2.50	0.50	0.50	0
KDT84168	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 13MM	8.23	12.66	18.41			1	99575841682	0.50	1.50	0.20	0.20	0
KDT84169	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 14MM	8.23	12.66	18.41			1	99575841699	0.10	6.00	2.00	6.00	0
KDT84170	1/4_ DRIVE UNIVERSAL IMPACT SOCKET 15MM	8.23	12.66	18.41			1	99575841705	0.10	6.00	2.00	6.00	0
KDT84200	1_ DRIVE 6 PT IMPACT SOCKET 3/4_	14.13	21.74	28.81			1	99575842009	0.00	0	0	0	CHN
KDT84201	1_ DRIVE 6 PT IMPACT SOCKET 13/16_	14.13	21.74	28.81			1	99575842016	0.00	0	0	0	CHN
KDT84204	1_ DRIVE 6 PT IMPACT SOCKET 1_	15.35	23.62	31.30			1	99575842047	0.00	0	0	0	CHN
KDT84205	1_ DRIVE 6 PT IMPACT SOCKET 1-1/16_	15.35	23.62	31.30			1	99575842054	0.00	0	0	0	CHN
KDT84206	1_ DRIVE 6 PT IMPACT SOCKET 1-1/8_	15.35	23.62	31.30			1	99575842061	0.00	0	0	0	CHN
KDT84207	1_ DRIVE 6 PT IMPACT SOCKET 1-3/16_	15.35	23.62	31.30			1	99575842078	0.00	0	0	0	CHN
KDT84208	1_ DRIVE 6 PT IMPACT SOCKET 1-1/4_	15.35	23.62	31.30			1	99575842085	0.00	0	0	0	CHN
KDT84209	1_ DRIVE 6 PT IMPACT SOCKET 1-5/16_	15.35	23.62	31.30			1	99575842092	0.00	0	0	0	CHN
KDT84215	1_ DRIVE 6 PT IMPACT SOCKET 1-11/16_	18.41	28.32	37.56			1	99575842153	0.00	0	0	0	CHN
KDT84287	1_ DRIVE 6 PT IMPACT SOCKET 33MM	18.41	28.32	37.55			1	99575842870	0.00	0	0	0	CHN
KDT84237	1_ DRIVE 6 PT IMPACT SOCKET 3-1/8_	91.14	140.22	185.80			1	99575842375	0.00	0	0	0	CHN
KDT84238	1_ DRIVE 6 PT IMPACT SOCKET 3-1/4_	91.14	140.22	185.89			1	99575842382	0.00	0	0	0	CHN
KDT84244	1_ DRIVE 6 PT IMPACT SOCKET 4-1/8_	294.49	433.07	601.96			1	99575842443	0.00	0	0	0	CHN
KDT84245	1_ DRIVE 6 PT IMPACT SOCKET 4-1/4_	294.49	433.07	599.11			1	99575842450	0.00	0	0	0	CHN
KDT84248	1_ DRIVE 6 POINT SAE DEEP IMPACT SOCKET 7/8_	17.83	27.43	36.38			1	99575842481	0.00	0	0	0	CHN
KDT84249	1_ DRIVE 6 POINT SAE DEEP IMPACT SOCKET 15/16_	17.83	27.43	36.38			1	99575842498	0.00	0	0	0	CHN
KDT84250	1_ DRIVE 6 POINT SAE DEEP IMPACT SOCKET 1_	17.83	27.43	36.38			1	99575842504	0.00	0	0	0	CHN
KDT84251	1_ DRIVE 6 POINT SAE DEEP IMPACT SOCKET 1-1/16_	17.83	27.43	36.38			1	99575842511	0.00	0	0	0	CHN
KDT84300N	3/8_DRIVE 5/16_ STANDARD IMPACT SOCKET	1.61	2.48	3.60			1	99575000058	0.10	2.00	1.00	1.00	CHN
KDT84301N	3/8_ DRIVE 6 POINT  3/8_ STANDARD IMPACT SOCKET	1.61	2.48	3.60			1	99575000065	0.10	4.00	1.00	2.00	CHN
KDT84302N	3/8_ DRIVE 6 POINT  7/16_ STANDARD IMPACT SOCKET	1.61	2.48	3.60			1	99575000072	0.10	2.00	1.00	1.00	CHN
